"ID","sector_empresa","genero","experiencia_empresa","estudios","valoracion_empresa_2018","valoracion_empresa_2019","valoracion_empresa_2020","Abandonar empresa","problema_trabajo","problema_relaciones","horas_extra_2018","horas_extra_2020","compentencia","autoestima","autoeficacia","ansiedad","satisfaccion","optimismo","estres","expectativas_2018","expectativas_2020"
"341",2,2,4,3,3.0,1.0,2.0,2,1,1,1,1,6.0,2.0,2.0,7.0,2.0,1.0,3,3.0,1.0
"342",1,2,4,1,2.0,2.0,2.0,2,1,1,1,1,6.0,5.0,8.0,4.0,10.0,3.0,1,6.0,5.0
"343",2,1,2,2,1.0,3.0,2.0,3,1,1,1,2,6.0,3.0,4.0,5.0,4.0,4.0,1,7.0,6.0
"344",1,1,1,1,2.0,2.0,1.0,3,1,1,1,1,4.0,4.0,8.0,4.0,8.0,4.0,2,4.0,5.0
"345",2,2,4,1,2.0,3.0,2.0,2,1,2,1,1,5.0,4.0,6.0,7.0,7.0,4.0,2,4.0,4.0
"346",2,2,2,2,3.0,4.0,3.0,1,2,1,2,2,3.0,3.0,0.0,10.0,0.0,2.0,3,-2.0,0.0
"347",2,2,2,2,3.0,3.0,2.0,3,2,2,2,2,6.0,3.0,0.0,8.0,5.0,3.0,3,3.0,2.0
"348",1,2,2,2,2.0,1.0,3.0,1,1,2,1,1,4.0,4.0,7.0,6.0,7.0,2.0,3,2.0,2.0
"349",1,1,2,1,2.0,1.0,2.0,2,2,1,2,2,4.0,4.0,8.0,6.0,9.0,2.0,3,3.0,2.0
"350",1,2,2,1,3.0,3.0,2.0,2,2,1,1,1,4.0,3.0,7.0,8.0,7.0,4.0,3,4.0,4.0
